Country,State,Year,Road Environment,Rank Of Persons Killed,Rank Of Total Accidents,"Number Of Persons Greviously Injured (UOM:Number), Scaling Factor:1","Number Of Persons Killed (UOM:Number), Scaling Factor:1","Number Of Persons With Minor Injury (UOM:Number), Scaling Factor:1","Total Accidents (UOM:Number), Scaling Factor:1","Total Number Of Persons Injured (UOM:Number), Scaling Factor:1"
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,23,21,5,35,28
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,190,172,71,361,261
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021",Open Area,,,411,484,142,707,553
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021",Others,,,21,13,15,18,36
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021",Residential Area,,,163,130,50,284,213
India,West Bengal,"Calendar Year (Jan - Dec), 2021",Institutional Area,,,266,144,89,420,355
India,West Bengal,"Calendar Year (Jan - Dec), 2021",Market/ Commercial Area,,,1048,712,160,1483,1208
India,West Bengal,"Calendar Year (Jan - Dec), 2021",Open Area,,,3421,2474,600,4368,4021
India,West Bengal,"Calendar Year (Jan - Dec), 2021",Others,,,1164,761,333,1729,1497
India,West Bengal,"Calendar Year (Jan - Dec), 2021",Residential Area,,,2777,1709,596,3937,3373
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,14,1,22,31,36
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,18,2,11,36,29
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Open Area,,,6,4,26,24,32
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Others,,,0,0,0,0,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2020",Residential Area,,,17,7,31,50,48
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,268,411,1052,1218,1320
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,797,682,1563,2393,2360
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Open Area,,,1912,4050,7978,9656,9890
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Others,,,597,639,1020,1805,1617
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Residential Area,,,1214,1257,3274,4437,4488
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,20,10,15,23,35
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,15,18,16,34,31
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Open Area,,,35,23,24,44,59
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Others,,,14,10,5,7,19
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Residential Area,,,25,12,16,26,41
India,Assam,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,490,256,70,642,560
India,Assam,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,1082,600,110,1579,1192
India,Assam,"Calendar Year (Jan - Dec), 2020",Open Area,,,1614,968,146,2287,1760
India,Assam,"Calendar Year (Jan - Dec), 2020",Others,,,632,328,117,857,749
India,Assam,"Calendar Year (Jan - Dec), 2020",Residential Area,,,884,477,124,1230,1008
India,Bihar,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,489,315,9,447,498
India,Bihar,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,963,755,74,1182,1037
India,Bihar,"Calendar Year (Jan - Dec), 2020",Open Area,,,4068,4464,94,5472,4162
India,Bihar,"Calendar Year (Jan - Dec), 2020",Others,,,0,0,0,0,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Residential Area,,,1267,1165,52,1538,1319
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,1,6,12,17,13
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,6,2,11,15,17
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Open Area,,,6,40,103,113,109
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Others,,,0,2,1,1,1
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Residential Area,,,1,3,7,13,8
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,59,127,269,375,328
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,160,315,917,1227,1077
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Open Area,,,793,2638,4472,5902,5265
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Others,,,169,444,743,908,912
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Residential Area,,,490,1082,2433,3244,2923
India,Delhi,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,17,79,159,210,176
India,Delhi,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,39,151,536,633,575
India,Delhi,"Calendar Year (Jan - Dec), 2020",Open Area,,,78,620,1514,1900,1592
India,Delhi,"Calendar Year (Jan - Dec), 2020",Others,,,42,213,778,893,820
India,Delhi,"Calendar Year (Jan - Dec), 2020",Residential Area,,,36,133,463,542,499
India,Goa,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,43,41,156,450,199
India,Goa,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,25,14,40,237,65
India,Goa,"Calendar Year (Jan - Dec), 2020",Open Area,,,60,82,196,786,256
India,Goa,"Calendar Year (Jan - Dec), 2020",Others,,,0,0,1,14,1
India,Goa,"Calendar Year (Jan - Dec), 2020",Residential Area,,,74,86,285,888,359
India,Gujarat,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,521,427,322,1080,843
India,Gujarat,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,841,516,526,1459,1367
India,Gujarat,"Calendar Year (Jan - Dec), 2020",Open Area,,,4309,4052,2978,7863,7287
India,Gujarat,"Calendar Year (Jan - Dec), 2020",Others,,,70,181,34,325,104
India,Gujarat,"Calendar Year (Jan - Dec), 2020",Residential Area,,,1450,994,951,2671,2401
India,Haryana,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,183,232,321,562,504
India,Haryana,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,520,675,945,1709,1465
India,Haryana,"Calendar Year (Jan - Dec), 2020",Open Area,,,785,2094,2325,3923,3110
India,Haryana,"Calendar Year (Jan - Dec), 2020",Others,,,443,883,1119,1831,1562
India,Haryana,"Calendar Year (Jan - Dec), 2020",Residential Area,,,306,623,712,1406,1018
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,58,24,72,111,130
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,211,146,347,481,558
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",Open Area,,,655,607,1465,1344,2120
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",Others,,,28,27,42,55,70
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",Residential Area,,,99,89,246,248,345
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,100.74706658505045298230,14.67190290073550286150,55.75323102279491087370,117.37522320588402289200,156.50029760784536385600
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,303.21932661520039247100,74.33764136372654783160,462.65400480319285689930,736.52952561692224364730,765.87333141839324937030
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2020",Open Area,,,1459.36527519315801795720,357.01630391789723629650,1083.76456093432914470280,2013.96320484096002612190,2543.12983612748716266000
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2020",Others,,,1190.38038867967379882970,154.54404388774729680780,292.45993115466102370590,1139.51779195712405557650,1482.84031983433482253560
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2020",Residential Area,,,249.42234931250354864550,111.50646204558982174740,567.31357882843944397800,746.31079421741257888830,816.73592814094299262350
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,333,308,97,511,430
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,415,444,133,686,548
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",Open Area,,,841,993,261,1351,1102
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",Others,,,386,543,117,761,503
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",Residential Area,,,552,756,160,1096,712
India,Karnataka,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,1175,420,1051,1902,2226
India,Karnataka,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,2892,1029,2904,5130,5796
India,Karnataka,"Calendar Year (Jan - Dec), 2020",Open Area,,,11288,7091,14901,22427,26189
India,Karnataka,"Calendar Year (Jan - Dec), 2020",Others,,,63,28,175,140,238
India,Karnataka,"Calendar Year (Jan - Dec), 2020",Residential Area,,,2524,1192,2519,4579,5043
India,Kerala,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,774,88,271,965,1045
India,Kerala,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,1721,173,613,2205,2334
India,Kerala,"Calendar Year (Jan - Dec), 2020",Open Area,,,3822,612,1512,4830,5334
India,Kerala,"Calendar Year (Jan - Dec), 2020",Others,,,13633,1786,5041,17006,18674
India,Kerala,"Calendar Year (Jan - Dec), 2020",Residential Area,,,2274,320,849,2871,3123
India,Ladakh,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,2.25293341494954701770,0.32809709926449713850,1.24676897720508912630,2.62477679411597710800,3.49970239215463614400
India,Ladakh,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,6.78067338479960752900,1.66235863627345216840,10.34599519680714310070,16.47047438307775635270,17.12666858160675062970
India,Ladakh,"Calendar Year (Jan - Dec), 2020",Open Area,,,32.63472480684198204280,7.98369608210276370350,24.23543906567085529720,45.03679515903997387810,56.87016387251283734000
India,Ladakh,"Calendar Year (Jan - Dec), 2020",Others,,,26.61961132032620117030,3.45595611225270319220,6.54006884533897629410,25.48220804287594442350,33.15968016566517746440
India,Ladakh,"Calendar Year (Jan - Dec), 2020",Residential Area,,,5.57765068749645135450,2.49353795441017825260,12.68642117156055602200,16.68920578258742111170,18.26407185905700737650
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",Open Area,,,0,0,1,1,1
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",Others,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",Residential Area,,,0,0,0,0,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,425,588,2236,2759,2661
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,1004,1078,5291,6373,6295
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",Open Area,,,2419,5715,18353,19636,20772
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",Others,,,731,1636,5856,6709,6587
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",Residential Area,,,1447,2124,8694,9789,10141
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,791,675,238,1386,1029
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,1195,918,575,2130,1770
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",Open Area,,,7859,6852,3361,13878,11220
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",Others,,,3,7,1,11,4
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",Residential Area,,,4123,3117,1768,7566,5891
India,Manipur,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,13,16,79,60,92
India,Manipur,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,25,18,106,90,131
India,Manipur,"Calendar Year (Jan - Dec), 2020",Open Area,,,98,53,128,135,226
India,Manipur,"Calendar Year (Jan - Dec), 2020",Others,,,0,0,0,0,0
India,Manipur,"Calendar Year (Jan - Dec), 2020",Residential Area,,,80,40,134,147,214
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,9,4,0,9,9
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,9,11,1,22,10
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",Open Area,,,50,75,54,94,104
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",Others,,,44,21,22,32,66
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",Residential Area,,,25,33,6,57,31
India,Mizoram,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,0,0,0,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,2,7,12,6,14
India,Mizoram,"Calendar Year (Jan - Dec), 2020",Open Area,,,9,13,11,17,20
India,Mizoram,"Calendar Year (Jan - Dec), 2020",Others,,,1,2,10,2,11
India,Mizoram,"Calendar Year (Jan - Dec), 2020",Residential Area,,,9,20,14,28,23
India,Nagaland,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,10,2,18,46,28
India,Nagaland,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,40,6,114,273,154
India,Nagaland,"Calendar Year (Jan - Dec), 2020",Open Area,,,18,25,47,114,65
India,Nagaland,"Calendar Year (Jan - Dec), 2020",Others,,,8,6,1,5,9
India,Nagaland,"Calendar Year (Jan - Dec), 2020",Residential Area,,,16,14,14,62,30
India,Odisha,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,386,263,227,615,613
India,Odisha,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,890,633,460,1604,1350
India,Odisha,"Calendar Year (Jan - Dec), 2020",Open Area,,,2530,2449,1952,4835,4482
India,Odisha,"Calendar Year (Jan - Dec), 2020",Others,,,764,682,498,1377,1262
India,Odisha,"Calendar Year (Jan - Dec), 2020",Residential Area,,,664,711,451,1386,1115
India,Puducherry,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,75,22,145,170,220
India,Puducherry,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,63,27,109,171,172
India,Puducherry,"Calendar Year (Jan - Dec), 2020",Open Area,,,33,38,121,157,154
India,Puducherry,"Calendar Year (Jan - Dec), 2020",Others,,,50,30,149,198,199
India,Puducherry,"Calendar Year (Jan - Dec), 2020",Residential Area,,,89,28,185,273,274
India,Punjab,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,192,356,146,531,338
India,Punjab,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,306,564,219,845,525
India,Punjab,"Calendar Year (Jan - Dec), 2020",Open Area,,,835,2022,493,2546,1328
India,Punjab,"Calendar Year (Jan - Dec), 2020",Others,,,145,325,83,436,228
India,Punjab,"Calendar Year (Jan - Dec), 2020",Residential Area,,,259,631,226,845,485
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,207,228,426,672,633
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,434,694,1257,1808,1691
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",Open Area,,,2976,6335,7429,11972,10405
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",Others,,,599,862,912,1784,1511
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",Residential Area,,,588,1131,1941,2878,2529
India,Sikkim,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,23,6,27,11,50
India,Sikkim,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,16,11,28,41,44
India,Sikkim,"Calendar Year (Jan - Dec), 2020",Open Area,,,33,21,41,63,74
India,Sikkim,"Calendar Year (Jan - Dec), 2020",Others,,,0,0,0,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2020",Residential Area,,,19,9,31,23,50
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,504,843,4228,4422,4732
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,827,1180,7152,7332,7979
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",Open Area,,,1541,4306,25866,23808,27407
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",Others,,,347,334,1373,1732,1720
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",Residential Area,,,499,1396,8214,8190,8713
India,Telangana,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,70,143,495,544,565
India,Telangana,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,297,797,2957,3418,3254
India,Telangana,"Calendar Year (Jan - Dec), 2020",Open Area,,,1522,3922,7185,8796,8707
India,Telangana,"Calendar Year (Jan - Dec), 2020",Others,,,146,1104,3501,3753,3647
India,Telangana,"Calendar Year (Jan - Dec), 2020",Residential Area,,,290,916,2198,2661,2488
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,8.00000000000000000000,12.00000000000000000000,0.00000000000000000000,15.00000000000000000000,8.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,15.00000000000000000000,12.00000000000000000000,7.00000000000000000000,26.00000000000000000000,22.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2020",Open Area,,,9.00000000000000000000,15.00000000000000000000,11.00000000000000000000,23.00000000000000000000,20.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2020",Others,,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2020",Residential Area,,,30.00000000000000000000,25.00000000000000000000,39.00000000000000000000,36.00000000000000000000,69.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,36,14,0,35,36
India,Tripura,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,88,28,0,78,88
India,Tripura,"Calendar Year (Jan - Dec), 2020",Open Area,,,156,65,2,146,158
India,Tripura,"Calendar Year (Jan - Dec), 2020",Others,,,0,0,0,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2020",Residential Area,,,179,85,9,207,188
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,1598,2002,1141,3870,2739
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,2354,3086,1443,5771,3797
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",Open Area,,,5236,7749,2832,13106,8068
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",Others,,,2343,3241,1568,5791,3911
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",Residential Area,,,2538,3071,1357,5705,3895
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,53,26,5,63,58
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,152,150,39,267,191
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",Open Area,,,338,371,120,496,458
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",Others,,,11,9,1,15,12
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",Residential Area,,,115,118,20,200,135
India,West Bengal,"Calendar Year (Jan - Dec), 2020",Institutional Area,,,129,135,25,230,154
India,West Bengal,"Calendar Year (Jan - Dec), 2020",Market/ Commercial Area,,,1051,696,114,1397,1165
India,West Bengal,"Calendar Year (Jan - Dec), 2020",Open Area,,,3300,2010,479,3679,3779
India,West Bengal,"Calendar Year (Jan - Dec), 2020",Others,,,1011,677,130,1292,1141
India,West Bengal,"Calendar Year (Jan - Dec), 2020",Residential Area,,,1839,1409,236,2582,2075
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,9,3,22,35,31
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,22,6,41,78,63
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2019",Open Area,34,33,6,2,13,24,19
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2019",Others,,,0,0,0,0,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2019",Residential Area,,,37,9,57,93,94
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,331,306,778,962,1109
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,775,666,1894,2672,2669
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",Open Area,8,7,2450,4570,10762,11308,13212
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",Others,,,1134,969,1324,2435,2458
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",Residential Area,,,1600,1473,3571,4615,5171
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,27,11,28,23,55
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,31,29,30,61,61
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",Open Area,28,30,50,45,32,75,82
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",Others,,,30,29,24,52,54
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",Residential Area,,,28,13,29,26,57
India,Assam,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,570,234,141,787,711
India,Assam,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,1151,505,191,1618,1342
India,Assam,"Calendar Year (Jan - Dec), 2019",Open Area,17,16,2699,1479,267,3353,2966
India,Assam,"Calendar Year (Jan - Dec), 2019",Others,,,712,381,138,957,850
India,Assam,"Calendar Year (Jan - Dec), 2019",Residential Area,,,1322,609,282,1635,1604
India,Bihar,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,662,626,37,948,699
India,Bihar,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,1057,1002,86,1523,1143
India,Bihar,"Calendar Year (Jan - Dec), 2019",Open Area,9,13,3504,3933,115,5233,3619
India,Bihar,"Calendar Year (Jan - Dec), 2019",Others,,,127,115,1,163,128
India,Bihar,"Calendar Year (Jan - Dec), 2019",Residential Area,,,1522,1529,95,2140,1617
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,1,2,9,11,10
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,1,5,32,38,33
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Open Area,24,25,14,89,203,232,217
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Others,,,0,0,0,0,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",Residential Area,,,1,8,14,24,15
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,71,139,346,420,417
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,213,275,726,1124,939
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Open Area,11,10,1341,3107,6164,7725,7505
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Others,,,282,388,796,1125,1078
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",Residential Area,,,644,1094,2507,3505,3151
India,Delhi,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,26,47,126,164,152
India,Delhi,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,106,197,537,722,643
India,Delhi,"Calendar Year (Jan - Dec), 2019",Open Area,20,18,374,752,1819,2499,2193
India,Delhi,"Calendar Year (Jan - Dec), 2019",Others,,,179,342,1183,1461,1362
India,Delhi,"Calendar Year (Jan - Dec), 2019",Residential Area,,,93,125,709,764,802
India,Goa,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,16,9,41,206,57
India,Goa,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,43,34,163,786,206
India,Goa,"Calendar Year (Jan - Dec), 2019",Open Area,23,22,119,139,508,1344,627
India,Goa,"Calendar Year (Jan - Dec), 2019",Others,,,0,0,0,0,0
India,Goa,"Calendar Year (Jan - Dec), 2019",Residential Area,,,87,115,471,1104,558
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,653,384,490,1088,1143
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,1112,629,773,1976,1885
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Open Area,7,8,5776,5047,4070,10279,9846
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Others,,,0,0,0,0,0
India,Gujarat,"Calendar Year (Jan - Dec), 2019",Residential Area,,,1966,1330,1418,3703,3384
India,Haryana,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,350,418,362,833,712
India,Haryana,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,486,616,801,1375,1287
India,Haryana,"Calendar Year (Jan - Dec), 2019",Open Area,14,14,1048,2050,2554,4392,3602
India,Haryana,"Calendar Year (Jan - Dec), 2019",Others,,,611,1259,1763,2763,2374
India,Haryana,"Calendar Year (Jan - Dec), 2019",Residential Area,,,404,714,983,1581,1387
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,148,94,343,316,491
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,197,109,414,471,611
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Open Area,19,21,814,794,2317,1670,3131
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Others,,,0,2,15,8,15
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",Residential Area,,,173,147,483,408,656
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,200.51600631005187244050,22.49691778112777105430,109.55020832549175469920,240.61920757206224692860,310.06621463554362713970
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,414.72578866079021421840,81.18452938406978250030,354.08192333775013572420,670.99502599363699753260,768.80771199854034994260
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2019",Open Area,22,17,2342.61382981743529021950,483.19466886422256090540,1252.98050772281194437210,2589.10179854979173829270,3595.59433754024723459160
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2019",Others,,,889.11731578457147340690,227.90355839142481111530,619.15430241103822075530,1257.87114202305711199260,1508.27161819560969416220
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2019",Residential Area,,,284.63491627426875551310,159.43467818799246442830,899.87671124511084217200,910.63610670565021093710,1184.51162751937959768510
India,Jharkhand,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,245,273,90,419,335
India,Jharkhand,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,480,528,125,802,605
India,Jharkhand,"Calendar Year (Jan - Dec), 2019",Open Area,16,20,1206,1585,282,2068,1488
India,Jharkhand,"Calendar Year (Jan - Dec), 2019",Others,,,379,499,152,688,531
India,Jharkhand,"Calendar Year (Jan - Dec), 2019",Residential Area,,,694,916,165,1240,859
India,Karnataka,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,2126,550,2016,3204,4142
India,Karnataka,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,3551,1205,2987,5418,6538
