Country,State,Year,Road Environment,Rank Of Persons Killed,Rank Of Total Accidents,"Number Of Persons Greviously Injured (UOM:Number), Scaling Factor:1","Number Of Persons Killed (UOM:Number), Scaling Factor:1","Number Of Persons With Minor Injury (UOM:Number), Scaling Factor:1","Total Accidents (UOM:Number), Scaling Factor:1","Total Number Of Persons Injured (UOM:Number), Scaling Factor:1"
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,1490,463,1132,2249,2622
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,3177,1074,2563,4814,5740
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Open Area,,,16534,8947,18009,28134,34543
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Others,,,1287,487,1112,1949,2399
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Residential Area,,,4130,1350,3113,6294,7243
India,Kerala,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,1771,170,901,2305,2672
India,Kerala,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,4940,443,2198,6409,7138
India,Kerala,"Calendar Year (Jan - Dec), 2023",Open Area,,,10499,1229,4807,13478,15306
India,Kerala,"Calendar Year (Jan - Dec), 2023",Others,,,15214,1634,6484,19249,21698
India,Kerala,"Calendar Year (Jan - Dec), 2023",Residential Area,,,5284,604,2222,6650,7506
India,Ladakh,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,0,0,13,8,13
India,Ladakh,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,7,5,59,47,66
India,Ladakh,"Calendar Year (Jan - Dec), 2023",Open Area,,,26,35,138,160,164
India,Ladakh,"Calendar Year (Jan - Dec), 2023",Others,,,2,5,17,14,19
India,Ladakh,"Calendar Year (Jan - Dec), 2023",Residential Area,,,11,14,67,60,78
India,Lakshadweep,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2023",Open Area,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2023",Others,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2023",Residential Area,,,1,0,0,1,1
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,540,524,2301,2839,2841
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,1263,1223,5600,7419,6863
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Open Area,,,3928,7923,22680,25521,26608
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Others,,,1474,1938,7547,8931,9021
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Residential Area,,,1846,2190,8590,10617,10436
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,1027,689,509,1812,1536
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,1775,1138,902,3283,2677
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Open Area,,,13317,10166,4472,21150,17789
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Others,,,5,4,5,9,10
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Residential Area,,,5322,3369,2430,8989,7752
India,Manipur,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,13,7,47,38,60
India,Manipur,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,43,16,127,107,170
